tweets,label
Alex Brosas another idiot #ALDUBKSGoesToUS  https://t.co/14G7hFwVQm,abusive
"RT @ItIzBiz: as Nancy Reagan would say, 'just say FUCKING NO!""
or something like that... https://t.co/ZaxB2gCq5v",abusive
RT @MailOnline: The Nazi death gas so horrific even Hitler feared using it https://t.co/pO2FiPVcnc,normal
I hate er chase because if the Bitch that works there she's literally evil,hateful
RT @chevleia: don't hmu when u get tired of ur boring hoe ur boring now too,abusive
RT @ashllyd: SICK OF BITCHES ON THE INTERNET 🐍🙅👉https://t.co/BkyqCFx64G @UKBloggers1 @FemaleBloggerRT @TheGirlGangHQ #fbloggers #fblchat @U…,abusive
RT @nyctophil3: Pineapples do not belong on pizza. Y'all niggas are nasty.,hateful
But he still with the shits so he started smoking and drinking (bad combo) probably looking like ... https://t.co/GWLVBxkGgh,abusive
"RT @Configa: April Fools fucking #dope If you ain't feeling this than you have rigor mortis, dummy!! #hiphop #boombap #goldenera… https://t…",abusive
Niggas keep talking about women wearing weave but be sick when a bitch up a fro on they ass. 😭,hateful
"""God, you're fucking pathetic."" https://t.co/ugvCc03GzC",abusive
You Worried About Somebody Bein Ugly... Bitch You Ugly...,abusive
Carlos Correa had gyalchester as his walkup music and it was so bad ass 😂,normal
Damn dean just put Corbin to sleep. That Match Also Showed why It Was On Pre show. Boring as fuck,abusive
"""THE FORCE AWAKENS: A Bad Lip Reading"" (Featuring Mark Hamill as Han Solo) https://t.co/hWWWMPP03c",normal
I hate a ol I forgot my Wallet at home but I have my ID ass bitch!!!,abusive
@vappywave idiot that's not gonna work. you gotta put flame stickers on it to make it go faster,hateful
RT @dawseyslinstead: i just want to cry so fucking bad look at them https://t.co/FaxDU5fI3m,abusive
RT @antoniodelotero: 2. i'm a bad bitch you can't kill me https://t.co/mI0xmuNbfM,abusive
RT @HeeeyMonica: Papaya has to be the worst fruit ever,normal
This is one ass extended April fools I pray someone just says it's a bad joke,abusive
@Pineaqples @DenialEsports btw I watched where you watched my pov on stream and boii do I feel retarded,normal
"RT @Kimberley1222: Disgusting. Insulting. Parks are NOT a charity. Give them a fucking budget, asshole.  @realDonaldTrump

#TheResistance
#…",abusive
"@NikkisBubble Every bird turd is talking ""Children of God"" or Our bros. &amp; Sisters"" to push evil policy
Russia got f… https://t.co/JTezgp7FrU",normal
RT @gogglepossum: Don't you hate people that put salt on their bag of dicks before even trying them?,abusive
"Niggas don't lie, our ugly friend put up a pic we just gon write ""nigga u ugly"" under it",abusive
Don't sleep with me? Then don't speak with me. And never talk bad bout niggas that eat with me,abusive
Grassley is a damn liar &amp; saying everything for the stupid #MAGA Supporters. Repubs #gaslight all gullible… https://t.co/6QyPPz5x8R,abusive
"Person telling me, it's me, the sugar in your Tea, are u actually fucking mad !!",abusive
RT @ayevonnn: bruh i fucking hate people like this 😤 https://t.co/dceEXQhnhq,hateful
@theDoofmanDFS @theDoofmanDFS are u still rocking with that team btw nani is fucking sick i tried him,abusive
"RT @AndyRichter: Jesus, the Get Out sequel looks fucking terrifying https://t.co/cJRwj2QjzP",abusive
RT @mattmfm: I'm really fucking sick of watching the Republican Party be rewarded for flagrantly degrading our democracy.,hateful
Systems that don't allow you to change your email address... what the hell are you doing? Were you built by idiots?,abusive
Holy crap!! The biggest assclown of a mayor on @TuckerCarlson pulling race card!! Get his ass outta office!!! #draintheswamp,abusive
I repeat... What the bloody hell is happening! 🙈👀 https://t.co/nWQlRJRIV3,abusive
im so fucking sick of seeing this damn tweet. https://t.co/MRMOy3mQXO,abusive
RT @EiramAydni: Im a nasty ass freak when I like you..,abusive
@JayFoee_ just another dumbass bronco fan swear I hate this fanbase dawg 😭,hateful
"RT @AndyRichter: Jesus, the Get Out sequel looks fucking terrifying https://t.co/cJRwj2QjzP",abusive
"RT @genn_up: ""Opened 5 min ago"" is SO fuckin annoying. A dinny send messages for the ged of ma health a send them for a fuckin REPLY",abusive
"Dick Tracy Meets Gruesome - the 2017 re-boot
#Riffotronic https://t.co/IMkbJxjysV",normal
fucks sake go away stupid anon — ^  https://t.co/8TQGyiKCVE,abusive
RT @BluntOfLoud: Reason Why These Bitches Secretly Hate Me🤣🤣🤣🤣🤣 https://t.co/ixJD7B4ZDz,abusive
im sick too 😒 sick of these hoes 🤦🏾‍♀️ https://t.co/43W9Iwkioj,abusive
@lawrenceantnhoy @OGSaxx Youre an idiot cause i dont care what youre talking about.,abusive
Yooooo vans got these sick ass velvet oxblood slip onnnnssssss 💦💦💦💦👅👅👅👅,abusive
